epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.9682,0.90748,2.15083,1.02899,0.67427,0.88137,0.80972,0.73658,0.42879,1.57289,0.84068,0.0002375,0.0002375,0.0002375
2,151.44,0.70777,1.2422,0.95326,0.81288,0.85847,0.90789,0.84871,0.37232,1.33654,0.822,0.000487392,0.000487392,0.000487392
3,222.602,0.69798,1.26846,0.99305,0.62935,0.80502,0.70851,0.63721,0.43001,1.4624,0.8336,0.000736845,0.000736845,0.000736845
4,291.771,0.67246,1.52633,0.94866,0.57484,0.84052,0.67016,0.58731,0.51848,2.30075,0.84794,0.000985528,0.000985528,0.000985528
5,364.052,0.70351,1.13079,0.94229,0.63664,0.85006,0.85908,0.76512,0.53511,1.39952,0.88066,0.00123311,0.00123311,0.00123311
6,436.971,0.61982,1.42699,0.95332,0.55888,0.81201,0.80007,0.72271,0.48464,2.00362,0.8671,0.00124307,0.00124307,0.00124307
7,508.903,0.67613,1.41266,0.99207,0.51883,0.86053,0.80799,0.72634,0.48679,3.25019,0.86822,0.00124004,0.00124004,0.00124004
8,579.34,0.69698,1.4261,1.00593,0.52983,0.77669,0.63187,0.57471,0.48065,2.27159,0.85689,0.00123645,0.00123645,0.00123645
9,648.816,0.6793,1.25215,0.99369,0.616,0.94662,0.77091,0.68713,0.46561,5.47389,0.8514,0.00123233,0.00123233,0.00123233
10,718.006,0.63872,1.09504,0.92805,0.76651,0.86996,0.94086,0.82875,0.52187,1.58272,0.87658,0.00122767,0.00122767,0.00122767
11,787.586,0.63991,0.89983,0.935,0.85896,0.81052,0.93782,0.8716,0.41776,1.25217,0.84653,0.00122247,0.00122247,0.00122247
12,858.554,0.64025,0.99177,0.97549,0.89794,0.91382,0.96499,0.88402,0.41159,0.90336,0.83184,0.00121675,0.00121675,0.00121675
13,929.634,0.58979,0.86054,0.92229,0.90989,0.96825,0.98023,0.89879,0.43979,0.88777,0.82942,0.0012105,0.0012105,0.0012105
